Status,PageTime_ms,TotalServerTime_ms,TotalBrowserTime_ms,Action_count,Api_count,Db_count,DbTime_ms,Xhr_count
Success,2312,2125,1736,13,59,321,543,10
Success,2143,2078,1627,13,50,333,503,10
Invalid,1883,2161,1856,10,44,235,140,3
Success,2162,2467,1692,13,59,319,488,10
Success,2156,2121,1781,13,59,321,501,10
Regression,2515,1996,1802,13,59,317,505,10
Success,2234,2010,1662,13,59,319,515,10
Regression,4831,9284,1663,13,73,540,722,10
Success,2253,2252,1633,13,59,317,481,10
Invalid,2048,2660,1743,13,68,341,564,10
Success,2203,1977,1847,13,50,285,508,10
Regression,2741,2170,1717,14,52,289,306,10
Regression,4298,5208,1777,14,52,293,3300,10
Success,2390,2524,1805,13,50,294,483,10
Regression,4743,5655,1685,14,52,287,3704,10
Success,2348,2175,1781,13,54,319,470,10
Error,2369,1502,1142,10,31,207,295,6
Success,2072,2401,1611,13,50,335,470,10
Success,2173,2384,1685,13,50,335,476,10
Success,2425,2416,1797,13,50,293,480,10
Success,2423,2747,1714,13,50,327,491,10
Success,2268,2457,1861,13,50,289,564,10
Regression,2535,2446,1786,13,54,317,518,10
Invalid,1758,2162,1358,13,52,287,479,10
Success,2289,2059,1648,13,52,289,510,10
Invalid,2205,2006,1682,13,50,285,531,10
Success,2417,2763,1705,13,52,335,526,10
Regression,2741,2817,1586,13,52,287,945,10
Success,2225,2100,1631,13,50,289,517,10
Success,2328,2318,1909,13,50,291,533,10
Success,2104,2275,1616,13,50,287,563,10
Success,2298,1923,1916,13,50,287,506,10
Regression,4016,2091,3281,13,52,297,503,10
Success,2259,2712,1818,12,57,312,177,10
Regression,2590,2290,1627,14,52,305,334,10
Success,2281,2015,1682,13,59,321,493,10
Success,2146,2080,1708,13,59,323,525,10
Success,2370,2919,1717,13,52,332,512,10
Success,2202,1849,1634,13,0,0,0,11
Invalid,2445,2426,1744,13,50,333,490,10
Success,2385,2296,1771,13,54,319,484,10
Success,2182,2464,1671,13,50,285,582,10
Regression,5132,9065,1706,13,73,536,629,10
Invalid,2112,2402,1588,13,50,293,574,10
Regression,4598,5370,1643,14,52,287,3447,10
Invalid,3379,3585,1627,13,52,287,1604,10
Invalid,3639,3944,1636,14,52,287,2014,10
Success,2102,2502,1598,13,50,287,574,10
Invalid,2178,2383,1666,13,50,287,560,10
Success,2164,2209,1617,13,52,291,517,10
Invalid,1573,1778,1352,12,57,313,376,10
Success,2274,2106,1549,13,52,285,502,10
Regression,2890,2406,1942,13,59,323,457,10
Invalid,5220,5390,1909,13,51,316,574,10
Invalid,2333,2174,1997,13,59,379,493,10
Invalid,2874,2165,1697,13,52,285,307,10
Regression,2805,2239,1645,13,52,289,321,10
Invalid,2729,867,3083,8,15,112,112,6
Success,2225,2004,1664,13,50,287,526,10
Success,2224,2542,1700,13,60,310,556,10
Success,2377,2284,1771,13,54,294,496,10
Success,2211,2098,1742,13,50,285,511,10
Success,2202,2054,1847,13,50,287,516,10
Error,2128,1204,1148,10,29,158,305,6
Invalid,2264,2607,1718,13,59,321,565,10
Invalid,2900,2192,1692,14,52,291,312,10
Invalid,2364,2140,1842,13,59,319,487,10
Invalid,2458,1569,1218,10,31,206,340,6
Success,2260,2100,1687,13,59,321,512,10
Invalid,2137,2510,1623,13,50,294,596,10
Invalid,2336,2448,1714,13,62,353,525,10
Regression,2603,2624,1935,13,52,293,485,10
Success,2225,1972,1694,13,50,285,512,10
Success,2298,2038,1686,13,52,285,512,10
Regression,3043,2483,1615,14,52,287,602,10
Invalid,2353,3437,1720,13,67,357,624,10
Invalid,2127,2153,1560,13,50,285,515,10
Success,2299,2861,1688,13,52,334,511,10
Regression,2564,2288,1874,13,54,321,483,10
Regression,2607,2307,1619,13,52,289,316,10
Invalid,2090,2005,1294,9,32,155,287,6
Invalid,2210,2567,1624,13,50,291,723,10
Success,2190,1969,1646,13,52,291,517,10
Regression,3000,2237,1599,14,52,291,303,10
Success,2122,2149,1743,13,59,323,527,10
Regression,3663,4015,1696,14,52,285,1926,10
Regression,2522,1880,1839,13,59,321,480,10
Invalid,3590,2303,3139,14,60,294,496,11
Regression,2729,2550,1618,14,52,285,556,10
Success,2183,1960,1684,13,50,289,505,10
Success,2213,2183,1815,13,58,322,345,10
Invalid,3445,3883,1668,14,52,287,1967,10
Invalid,2234,2138,1792,13,59,323,513,10
Success,2206,1977,1664,13,50,285,516,10
Regression,2695,3338,1673,13,52,291,1509,10
Success,2211,2119,1729,13,0,0,0,11
Invalid,2629,2873,1932,13,68,365,665,10
Success,2120,2536,1632,13,50,287,595,10
Invalid,4350,7858,1664,13,73,536,562,10
Success,2395,2197,1813,13,50,331,472,10
Success,2246,2285,1620,13,50,294,478,10
Regression,3227,2743,1702,13,61,324,342,10
Success,2360,2138,1722,13,54,315,471,10
Success,2340,2843,1648,13,52,329,517,10
Success,2144,2114,1656,13,50,331,502,10
Regression,2849,2320,1604,13,52,287,400,10
Regression,3198,866,2896,8,15,112,106,6
Invalid,2504,3955,1695,13,50,927,604,10
Regression,4518,5598,1682,14,52,287,3343,10
Invalid,1619,2177,1288,12,49,285,402,10
