timeStamp	cnt	avg(runTime)	avg(dbTime)	avg(cpuTime)	avg(vfTime)
16-05-19 16:00	387016	172.649773	62.464744	44.157668	23.197959
16-05-19 17:00	307737	167.534488	60.719228	42.531432	21.370343
16-05-19 18:00	140061	167.388918	79.235497	39.349553	18.262845
16-05-19 19:00	102706	159.165826	82.8188	37.040021	16.185015
16-05-19 20:00	62133	162.181948	103.860835	36.979669	15.089685
16-05-19 21:00	41859	154.519712	98.188032	34.569156	14.207165
16-05-19 22:00	24226	168.310507	104.779073	35.417751	15.339265
16-05-19 23:00	12037	148.282774	85.960942	37.082757	16.295472
16-05-20 00:00	10166	183.176416	78.802116	48.381767	24.065235
16-05-20 01:00	5632	152.844037	86.300693	35.183112	16.260813
16-05-20 02:00	6512	144.66116	80.48024	35.604632	15.784095
16-05-20 03:00	19614	170.394901	119.412651	35.826485	7.861015
16-05-20 04:00	43091	143.497221	98.526189	33.560717	6.183216
16-05-20 05:00	81340	183.755342	101.368245	36.682488	13.461821
16-05-20 06:00	254934	151.400659	56.159763	41.327075	19.361745
16-05-20 07:00	379044	164.626701	59.411972	43.895168	21.154073
16-05-20 08:00	452685	178.750146	65.469785	47.44956	25.712274
16-05-20 09:00	489703	182.779362	65.781692	47.812183	26.26265
16-05-20 10:00	427170	181.726875	64.460642	47.70398	25.98142
16-05-20 11:00	405800	194.557648	77.149551	47.75165	25.642559
16-05-20 12:00	416552	187.405067	68.961397	47.508953	27.444926
16-05-20 13:00	401968	192.895399	71.584682	47.192118	27.192631
16-05-20 14:00	430150	173.281586	56.593322	46.776552	25.383307
16-05-20 15:00	409546	190.513657	65.670661	45.731464	26.242459
16-05-20 16:00	355449	171.731879	59.74478	43.190017	23.46821
16-05-20 17:00	301292	157.185388	56.990931	41.482135	19.112218
16-05-20 18:00	132064	157.315674	79.819475	38.67452	14.058898
16-05-20 19:00	79132	155.758518	81.361888	36.856807	14.957235
16-05-20 20:00	52960	151.527439	93.892801	36.208082	14.878013
16-05-20 21:00	39205	151.500689	95.099905	35.145295	14.239773
16-05-20 22:00	24628	174.39448	113.638451	37.842913	14.973862
16-05-20 23:00	13363	153.799192	93.599572	36.715429	15.429987
16-05-21 00:00	11797	170.220417	75.935356	46.311007	23.150207
16-05-21 01:00	5985	147.428142	80.279469	37.026726	17.222478
16-05-21 02:00	5366	132.302468	75.594669	32.266338	13.760908
16-05-21 03:00	21799	126.021926	84.88225	35.589285	4.468666
16-05-21 04:00	38391	125.217433	84.674444	34.579988	4.598929
16-05-21 05:00	50707	160.020009	93.458204	35.404115	8.940244
16-05-21 06:00	165711	142.770722	59.598715	38.657106	16.3963
16-05-21 07:00	265168	154.011015	59.158433	39.322802	18.382606
16-05-21 08:00	343728	160.519609	64.382569	41.454087	20.302668
16-05-21 09:00	384724	158.156051	61.197178	41.585627	20.164396
16-05-21 10:00	356157	156.869095	59.739722	41.79878	20.087022
16-05-21 11:00	314119	172.195737	71.169969	42.359891	20.415739
16-05-21 12:00	285997	161.951403	59.505167	41.946571	21.792095
16-05-21 13:00	298207	155.10293	51.711245	41.550082	21.40493
16-05-21 14:00	281600	146.310709	44.150339	41.069886	20.894913
16-05-21 15:00	284042	166.784312	58.120164	42.192667	21.998037
16-05-21 16:00	240888	150.999374	49.268131	41.254979	20.643724
16-05-21 17:00	181631	154.642031	53.501559	41.185765	19.631518
16-05-21 18:00	73356	153.928458	71.952841	36.983831	16.421329
16-05-21 19:00	58567	155.133621	78.510618	36.83418	15.978111
16-05-21 20:00	43122	181.052935	118.933184	39.138736	15.087206
16-05-21 21:00	38023	108.37134	65.607434	23.713511	9.690662
16-05-21 22:00	23836	211.165097	130.250547	47.325778	22.177011
16-05-21 23:00	13611	178.751465	108.239781	43.132474	18.274873
16-05-22 00:00	11616	187.39531	85.491482	53.456402	24.090951
16-05-22 01:00	5813	150.873879	85.419184	40.322167	16.129416
16-05-22 02:00	5097	143.390269	79.37085	37.515765	15.946753
16-05-22 03:00	9780	302.145967	244.913138	36.663982	8.867095
16-05-22 04:00	25506	187.26864	134.139434	36.494489	5.256784
16-05-22 05:00	49189	181.627406	121.077121	37.191331	4.795245
16-05-22 06:00	55646	167.528082	111.551991	36.852986	9.987634
16-05-22 07:00	93569	175.928347	109.588994	36.181825	9.265252
16-05-22 08:00	99418	194.311507	131.903899	38.336727	12.28425
16-05-22 09:00	113680	190.366213	126.539114	38.688127	12.308479
16-05-22 10:00	102150	191.638397	126.67538	38.744443	12.717843
16-05-22 11:00	75625	271.605132	193.34785	40.812252	16.474299
16-05-22 12:00	78797	188.448837	105.286706	38.461585	16.84967
16-05-22 13:00	83810	164.062652	90.798236	37.601143	16.019217
16-05-22 14:00	83964	160.682735	89.973891	37.5066	16.117995
16-05-22 15:00	90131	165.170411	93.42304	36.929385	15.776565
16-05-22 16:00	95472	156.596271	87.412929	37.033478	15.865718
16-05-22 17:00	90196	160.346517	90.94361	36.391013	15.136933
16-05-22 18:00	86516	155.419569	88.297095	36.193934	14.975752
16-05-22 19:00	76152	157.121219	89.150189	36.868432	15.296157
16-05-22 20:00	53386	197.108868	135.442615	38.954088	14.495989
16-05-22 21:00	37648	159.221166	101.379203	35.034501	14.787147
16-05-22 22:00	23797	154.658615	94.479797	36.661803	14.998608
16-05-22 23:00	13246	145.112698	87.417473	35.260649	14.592611
16-05-23 00:00	10698	180.013487	76.367732	50.246054	25.042058
16-05-23 01:00	5564	148.657445	82.168492	36.949856	15.96561
16-05-23 02:00	5397	143.91046	82.727219	33.926902	15.009509
16-05-23 03:00	21529	142.490066	100.88635	34.137642	4.692033
16-05-23 04:00	41832	134.694733	93.250141	33.535362	4.892917
16-05-23 05:00	81914	153.009756	82.638736	36.234439	11.353911
16-05-23 06:00	246259	159.948846	64.6182	42.077845	20.859895
16-05-23 07:00	421089	171.527052	64.606995	45.13319	24.046334
16-05-23 08:00	519245	190.50803	72.888754	47.484326	28.458156
16-05-23 09:00	581855	186.64415	71.078063	47.569926	27.992084
16-05-23 10:00	513548	197.488279	72.34881	47.475218	30.81976
16-05-23 11:00	510497	202.310323	76.298631	47.47359	30.502804
16-05-23 12:00	499684	188.569243	65.389938	47.737869	29.940519
16-05-23 13:00	475687	186.590427	65.536135	48.387351	28.162865
16-05-23 14:00	491651	178.720502	62.209505	47.190285	27.360823
16-05-23 15:00	513007	183.207431	61.570858	46.714045	26.686141
16-05-23 16:00	421774	178.395721	63.285673	44.403082	25.766903
16-05-23 17:00	350857	182.25845	57.087785	42.785161	23.62829
16-05-23 18:00	151778	193.719293	95.055556	39.950675	18.206667
16-05-23 19:00	111539	168.232253	91.24061	38.002991	16.400048
16-05-23 20:00	67731	189.87701	127.142773	40.172583	15.862691
16-05-23 21:00	40170	154.101127	96.267349	35.625808	15.198381
16-05-23 22:00	22728	161.09609	97.482104	37.712626	16.277788
16-05-23 23:00	11400	155.295829	88.823745	37.734865	16.283683
16-05-24 00:00	11035	179.561436	77.945617	47.10322	24.456659
16-05-24 01:00	4275	194.958312	102.486439	40.116022	21.558764
16-05-24 02:00	4167	169.65799	83.74201	34.550515	15.995619
16-05-24 03:00	14671	205.598843	140.909943	39.727705	8.355469
16-05-24 04:00	37089	160.500391	110.251644	37.110686	6.155876
16-05-24 05:00	78107	173.601335	91.227709	41.737387	12.305042
16-05-24 06:00	217778	146.727345	56.350298	44.608512	21.877427
16-05-24 07:00	408071	158.339604	60.973362	41.487707	21.607008
16-05-24 08:00	514954	165.992356	60.845258	44.47896	25.447705
16-05-24 09:00	516027	175.767828	63.018727	47.579303	25.795264
16-05-24 10:00	448124	182.689454	63.367103	48.613789	28.292069
16-05-24 11:00	432172	181.996311	62.976511	47.956923	27.162906
16-05-24 12:00	412302	181.511889	61.935422	48.453144	27.272832
16-05-24 13:00	404838	183.526001	63.939153	49.247388	26.932877
16-05-24 14:00	459971	186.254477	62.80028	48.71402	28.225913
16-05-24 15:00	467391	192.984609	67.983904	46.849831	28.169366
16-05-24 16:00	423063	180.27243	61.075482	44.385782	26.760228
16-05-24 17:00	343611	167.848827	58.750994	43.303562	22.479656
16-05-24 18:00	150711	180.656672	94.445808	40.144457	17.058645
16-05-24 19:00	100007	163.947211	84.6773	37.867091	16.896674
16-05-24 20:00	63778	187.599331	126.357483	39.662978	15.003734
16-05-24 21:00	40587	153.747995	97.658532	34.768336	14.257927
16-05-24 22:00	23438	159.502507	96.495792	37.083107	16.29237
16-05-24 23:00	12565	150.084349	90.022996	34.844689	14.727647
16-05-25 00:00	10375	173.598171	74.908014	48.627897	23.076188
16-05-25 01:00	5508	143.297631	78.415704	35.827883	16.17055
16-05-25 02:00	5706	171.435728	90.755388	44.914934	19.463705
16-05-25 03:00	14940	197.383838	149.71669	36.137936	7.481982
16-05-25 04:00	38508	155.139314	108.147553	36.295079	6.132364
16-05-25 05:00	85277	169.097057	92.252478	39.175533	10.590254
16-05-25 06:00	223373	160.191973	63.509096	43.695332	20.722147
16-05-25 07:00	356598	174.391582	67.272016	45.430871	22.649224
16-05-25 08:00	459525	183.303657	71.43014	48.535464	26.358434
16-05-25 09:00	481861	186.5791	70.625222	48.781376	27.048968
16-05-25 10:00	442081	199.629796	76.898415	48.136054	28.424052
16-05-25 11:00	440143	203.011974	81.676137	47.934287	27.822908
16-05-25 12:00	421249	197.918967	79.846538	49.103688	27.14968
16-05-25 13:00	411808	199.313011	76.152253	48.631013	27.190017
16-05-25 14:00	428550	193.942318	70.590535	48.963168	27.8008
16-05-25 15:00	430486	207.552824	73.922079	48.366584	28.067325
16-05-25 16:00	402533	184.320267	63.97679	45.032225	23.699085
16-05-25 17:00	331102	162.257984	51.142623	42.906122	21.794927
16-05-25 18:00	147675	159.617332	77.406341	36.996901	15.349807
16-05-25 19:00	103679	164.628899	82.643585	37.4235	16.231942
16-05-25 20:00	67766	187.729971	123.686031	38.972815	15.240417
16-05-25 21:00	43377	157.244559	96.553784	36.051512	15.664296
16-05-25 22:00	23889	154.324707	94.722386	35.130989	14.779132
16-05-25 23:00	6820	174.168149	61.369165	41.008574	19.707526
16-05-26 00:00	10797	177.912119	73.237059	48.353632	23.341091
16-05-26 01:00	6392	155.331017	86.062712	36.743898	16.987288
16-05-26 02:00	6347	148.218846	86.657904	34.241891	14.278081
16-05-26 03:00	8679	149.254246	91.262737	33.175949	13.638362
