Status,PageTime_ms,TotalServerTime_ms,TotalBrowserTime_ms,Action_count,Api_count,Db_count,DbTime_ms,Xhr_count
Success,2146,2278,1697,13,50,285,585,10
Regression,2529,2287,1599,14,52,287,403,10
Error,2392,1521,1176,10,31,205,290,6
Regression,4638,5589,1657,14,52,289,3544,10
Success,2254,2074,1674,13,52,287,502,10
Regression,2937,2199,1665,13,52,291,339,10
Regression,3193,3393,1683,14,52,285,1229,10
Invalid,3985,4423,1663,14,52,289,2464,10
Invalid,2844,5334,1657,13,58,368,529,10
Regression,2970,2113,3301,13,52,287,516,10
Success,2175,2006,1839,13,50,287,519,10
Regression,2533,2178,1845,13,59,319,547,10
Success,2384,2293,2771,13,54,321,480,10
Regression,2634,2174,1595,13,52,289,311,10
Invalid,2321,1503,1145,10,31,205,293,6
Success,2194,2389,1673,13,50,289,525,10
Success,2270,2183,1706,13,59,317,483,10
Invalid,2218,2101,1710,13,50,287,515,10
Invalid,2375,1975,1810,13,50,287,520,10
Success,2177,2111,1658,13,60,326,346,10
Success,2204,2490,1617,13,50,331,597,10
Invalid,3359,2124,2340,12,49,281,378,10
Invalid,3961,4568,1655,13,52,289,2615,10
Success,2110,2421,1592,13,50,285,565,10
Success,2177,1976,1655,13,50,291,530,10
Success,2266,2311,1722,13,52,287,481,10
Invalid,3759,4353,1832,13,52,291,2421,10
Invalid,5596,2307,1701,13,52,287,519,10
Invalid,2043,2624,1582,13,0,0,0,11
Invalid,2400,2480,1758,13,54,290,509,10
Success,2140,2506,1690,13,59,321,479,10
Regression,4949,9512,1702,13,73,544,669,10
Regression,2903,2511,1635,13,61,326,339,10
Success,2209,1944,1720,13,50,287,511,10
Success,2165,2334,1616,13,59,323,472,10
Regression,4485,7931,1751,13,73,534,591,10
Invalid,2201,2049,1707,13,59,317,464,10
Success,2130,2315,1614,13,59,323,472,10
Invalid,2207,2078,1816,13,50,285,527,10
Invalid,2045,2978,1565,13,50,289,574,10
Regression,4516,7787,1775,13,73,536,645,10
Success,2397,2121,1961,13,59,321,487,10
Invalid,2136,2454,1688,13,50,291,622,10
Success,2350,2325,1786,13,50,327,577,10
Regression,2770,2862,1749,13,52,297,1326,10
Regression,2735,2293,1628,14,52,287,355,10
Success,2258,2338,1765,13,50,331,482,10
Success,2238,2304,1680,13,50,335,488,10
Invalid,2147,3017,1634,13,50,337,483,10
Success,2358,2654,1726,13,50,325,478,10
Invalid,2529,2351,1879,13,52,289,470,10
Regression,2728,2163,1707,14,52,293,310,10
Success,2341,2123,1743,13,54,321,479,10
Success,2228,2375,1635,13,50,285,530,10
Invalid,2784,863,2953,8,15,112,107,6
Regression,2545,2117,1778,13,59,317,471,10
Success,2093,2134,1659,13,58,320,344,10
Invalid,2739,2474,3270,13,54,317,514,10
Success,2278,2576,1762,13,52,289,482,10
Regression,4496,8636,1644,13,73,538,670,10
Success,2259,2137,1687,13,50,329,462,10
Invalid,2196,2003,1831,13,50,289,508,10
Invalid,2292,1715,2004,13,0,0,0,11
Success,2211,2303,1663,13,50,285,547,10
Success,2256,2616,1653,13,50,331,482,10
Invalid,4604,5071,1713,13,52,289,3081,10
Success,2143,2114,1653,13,50,289,516,10
Invalid,2388,2171,1750,13,59,319,573,10
Success,2177,1976,1655,13,50,291,530,10
Regression,2864,2249,2142,13,50,285,517,10
Invalid,2124,2261,1553,13,50,373,503,10
Regression,2593,2072,1955,13,59,317,518,10
Success,2191,2451,1710,13,50,331,492,10
Invalid,2156,2360,1575,13,59,319,507,10
Invalid,2256,2215,1672,13,50,333,519,10
Success,2245,2136,1708,13,50,289,525,10
Invalid,2093,2198,1569,13,50,287,532,10
Success,2098,2146,1603,13,50,291,545,10
Regression,2501,2422,1611,14,52,287,495,10
Regression,3993,2072,3258,13,52,287,510,10
Success,2176,2358,1688,13,50,329,489,10
Success,2166,2146,1756,13,59,317,523,10
Success,2292,1956,1675,13,50,289,513,10
Regression,2745,2311,1636,14,52,289,295,10
Success,2226,1981,1687,13,50,289,510,10
Success,2451,1934,1792,13,59,319,463,10
Success,2259,2022,1740,13,50,287,521,10
Success,2346,2230,1805,13,59,319,506,10
Invalid,2155,2405,1618,13,50,285,565,10
Success,2123,2070,1723,13,59,317,492,10
Success,2143,2114,1653,13,50,289,516,10
Invalid,2327,1995,1726,13,50,287,511,10
Invalid,4868,9536,2360,13,73,542,589,10
Invalid,8350,12889,1853,13,73,538,655,10
Invalid,2120,2216,1731,13,50,331,475,10
Success,2178,2138,1647,13,50,289,515,10
Success,2171,2334,1759,13,59,317,464,10
Invalid,6021,6801,1707,14,52,289,4885,10
Regression,3072,2371,2091,13,50,287,579,10
Regression,2602,2471,1930,13,50,293,476,10
Invalid,2237,2024,1755,13,50,293,516,10
Success,2245,2330,1665,13,59,319,469,10
Invalid,2218,2318,1628,13,50,329,488,10
Invalid,5029,6022,1746,14,52,289,4011,10
Success,2090,1652,1631,13,0,0,0,11
Invalid,1870,2158,1340,12,49,283,376,10
Invalid,2882,2620,2034,13,50,335,543,10
Invalid,2289,2681,1748,13,54,288,509,10
Success,2372,2602,1737,13,52,295,473,10
Success,2129,1982,1648,13,50,285,517,10
Invalid,2097,2462,1553,13,50,335,484,10
Invalid,2406,2428,1812,13,52,293,474,10
Invalid,1864,1632,1077,9,32,152,295,6
Invalid,1678,1736,1242,12,57,315,360,10
Invalid,2743,2438,1817,13,59,381,613,10
Success,2341,2542,1662,13,62,325,515,10
Invalid,384,262,385,2,10,10,20,2
Regression,2750,2320,2033,13,51,290,557,10
Success,2121,2187,1806,13,0,0,0,11
Success,2215,2206,1742,13,50,293,536,10
Success,2324,2542,1668,13,59,321,507,10
Invalid,2339,2160,1709,13,50,289,552,10
Success,2305,1947,1667,13,50,287,522,10
Regression,2634,2045,1905,13,59,325,511,10
Success,2234,2033,1712,13,59,323,518,10
Invalid,2142,2574,1615,13,52,285,489,10
Invalid,2271,2485,1654,13,50,321,497,10
Success,2320,2357,1662,13,54,288,487,10
Success,2242,2163,1734,13,52,289,491,10
Invalid,2147,2172,1685,13,50,337,488,10
Invalid,5922,11075,1662,13,73,542,643,10
Success,2221,2426,1707,13,60,322,473,10
Invalid,2082,2351,1672,13,50,291,600,10
Success,2247,1975,1897,13,50,289,519,10
Success,2263,2549,1763,13,59,319,486,10
Success,2336,2449,1686,13,52,285,480,10
Regression,3717,2509,3173,14,60,290,507,11
Regression,3610,4632,1683,13,52,287,1803,10
Success,2153,1985,1720,13,50,287,509,10
Success,2362,2171,1741,13,54,315,478,10
Success,2182,2428,1720,13,50,331,462,10
Error,2173,1190,1172,10,29,158,294,6
Success,2379,2206,1705,13,52,285,488,10
Success,2219,2038,1751,13,59,319,478,10
Success,2166,2414,1765,13,59,322,490,10
Success,2224,2196,1609,13,52,287,495,10
Success,2233,2175,1867,13,50,297,523,10
Success,2199,2509,1707,13,50,293,596,10
Regression,2522,2193,1633,13,52,285,298,10
Invalid,4725,5797,1866,14,52,287,3629,10
